 ,Haplodiploidy,Eusociality
Hy_Tiphiid,1,0
Hy_Torymid,1,0
Hy_Trichog,1,0
Hy_Trigona,1,0
Hy_Vanhorn,1,0
Hy_Vespida,1,1
Hy_Xiphydr,1,0
Hy_Xyelida,1,0
Is_Hodoter,0,0
Is_Kaloter,0,0
Is_Mastote,0,0
Is_Rhinote,0,0
Is_Serrite,0,0
Is_Termiti,0,0
Is_Termops,0,0
L_Acanthop,0,0
L_Acroloph,0,0
L_Adelidae,0,0
L_Agathiph,0,0
L_Agonoxen,0,0
L_Aididae,0,0
L_Alucitid,0,0
L_Amphisba,0,0
L_Andesian,0,0
L_Anomoeti,0,0
L_Anthelid,0,0
L_Apatelod,0,0
L_Arctiida,0,0
L_Argyrest,0,0
L_Arrhenop,0,0
L_Autostic,0,0
L_Batrache,0,0
L_Bedellid,0,0
L_Blastoba,0,0
L_Bombycid,0,0
L_Brachodi,0,0
L_Brahmaei,0,0
L_Bucculat,0,0
L_Callidul,0,0
L_Carposin,0,0
L_Carthaei,0,0
L_Castniid,0,0
L_Choreuti,0,0
L_Cimeliid,0,0
L_Coleopho,0,0
L_Copromor,0,0
L_Cosmopte,0,0
L_Cossidae,0,0
L_Crambida,0,0
L_Crinopte,0,0
L_Cyclotor,0,0
L_Dalcerid,0,0
L_Deocloni,0,0
L_Deuterog,0,0
L_Douglasi,0,0
L_Drepanid,0,0
L_Dudgeoni,0,0
L_Elachist,0,0
L_Endromid,0,0
L_Epicopei,0,0
L_Epipyrop,0,0
L_Ericotti,0,0
L_Eriocran,0,0
L_Eupterot,0,0
L_Gelechid,0,0
L_Geometri,0,0
L_Glyphido,0,0
L_Glyphipt,0,0
L_Gracilla,0,0
L_Hedylida,0,0
L_Heliozel,0,0
L_Hepialid,0,0
L_Hesperii,0,0
L_Heteroba,0,0
L_Heterogy,0,0
L_Himantop,0,0
L_Hyblaeid,0,0
L_Immidae,0,0
L_Incurvar,0,0
L_Lacturid,0,0
L_Lasiocam,0,0
L_Lecithoc,0,0
L_Lemoniid,0,0
L_Limacodi,0,0
L_Lycaenid,0,0
L_Lymantri,0,0
L_Lyoneti,0,0
L_Megalopy,0,0
L_Micropte,0,0
L_Mimallon,0,0
L_Mirinida,0,0
L_Mnesacha,0,0
L_Momphida,0,0
L_Neopseus,0,0
L_Nepticul,0,0
L_Noctuida,0,0
L_Notodont,0,0
L_Nymphali,0,0
L_Oecophor,0,0
L_Opostegi,0,0
L_Palaepha,0,0
L_Papilion,0,0
L_Peleopod,0,0
L_Pieridae,0,0
L_Plutelli,0,0
L_Prodoxid,0,0
L_Protothe,0,0
L_Psychida,0,0
L_Pterolon,0,0
L_Pteropho,0,0
L_Pyralida,0,0
L_Riodinid,0,0
L_Roeslers,0,0
L_Saturnii,0,0
L_Sematuri,0,0
L_Sesiidae,0,0
L_Somabrac,0,0
L_Sphingid,0,0
L_Thyridid,0,0
L_Tineidae,0,0
L_Tineodid,0,0
L_Tischeri,0,0
L_Tortrici,0,0
L_Uraniida,0,0
L_Urodidae,0,0
L_Xyloryct,0,0
L_Yponomeu,0,0
L_Ypsolop,0,0
L_Zygaenid,0,0
Man_Acanth,0,0
Man_Amorph,0,0
Man_Chaete,0,0
Man_Empusi,0,0
Man_Eremia,0,0
Man_Hymeno,0,0
Man_Iridop,0,0
Man_Liturg,0,0
Man_Mantid,0,0
Man_Mantoi,0,0
Man_Metall,0,0
Man_Paraox,0,0
Man_Sibyll,0,0
Man_Tarach,0,0
Man_Thespi,0,0
Man_Toxode,0,0
Mantophasm,0,0
Mec_Aptero,0,0
Mec_Bittac,0,0
Mec_Boreid,0,0
Mec_Choris,0,0
Mec_Merop,0,0
Mec_Nannoc,0,0
Mec_Panora,0,0
Mec_Panorb,0,0
Meg_Coryda,0,0
Meg_Sialid,0,0
Neu_Ascala,0,0
Neu_Beroth,0,0
Neu_Chryso,0,0
Neu_Coniop,0,0
Neu_Hemer,0,0
Neu_Ithoni,0,0
Neu_Mantis,0,0
Neu_Myrmel,0,0
Neu_Nemopt,0,0
Neu_Nevror,0,0
Neu_Nymphi,0,0
Neu_Osmyli,0,0
Neu_Polyst,0,0
Neu_Psych,0,0
Neu_Sisyri,0,0
Od_A_Aeshn,0,0
Od_A_Austr,0,0
Od_A_Chlor,0,0
Od_A_Corda,0,0
Od_A_Cordb,0,0
Od_A_Gomph,0,0
Od_A_Libel,0,0
Od_A_Macro,0,0
Od_A_Neope,0,0
Od_A_Petal,0,0
Od_A_Synth,0,0
Od_AZ_Epio,0,0
Od_Z_Amphy,0,0
Od_Z_Calop,0,0
Od_Z_Chlor,0,0
Od_Z_Chori,0,0
Od_Z_Coena,0,0
Od_Z_Dicte,0,0
Od_Z_Diphl,0,0
Od_Z_Eupha,0,0
Od_Z_Hemip,0,0
Od_Z_Isost,0,0
Od_Z_Lesti,0,0
Od_Z_Megap,0,0
Od_Z_Peril,0,0
Od_Z_Platycn,0,0
Od_Z_Platyst,0,0
Od_Z_Polyt,0,0
Od_Z_Proto,0,0
Od_Z_Pseuole,0,0
Od_Z_Pseuost,0,0
Od_Z_Synle,0,0
Or_C_Acrid,0,0
Or_C_Choro,0,0
Or_C_Cylin,0,0
Or_C_Episa,0,0
Or_C_Eumas,0,0
Or_C_Eusch,0,0
Or_C_Lentu,0,0
Or_C_Pamph,0,0
Or_C_Pneum,0,0
Or_C_Prosc,0,0
Or_C_Pyrgo,0,0
Or_C_Rhipi,0,0
Or_C_Romal,0,0
Or_C_Tanao,0,0
Or_C_Tetri,0,0
Or_C_Theri,0,0
Or_C_Trida,0,0
Or_C_Trigo,0,0
Or_C_Xyron,0,0
Or_E_Anost,0,0
Or_E_Gryllac,0,0
Or_E_Grylli,0,0
Or_E_Gryllot,0,0
Or_E_Myrme,0,0
Or_E_Proph,0,0
Or_E_Rhaph,0,0
Or_E_Steno,0,0
Or_E_Tetti,0,0
Pha_Agathe,0,0
Pha_Aschip,0,0
Pha_Bacill,0,0
Pha_Diaphe,0,0
Pha_Heteronem,0,0
Pha_Heteropt,0,0
Pha_Phasma,0,0
Pha_Phylli,0,0
Pha_Pseudo,0,0
Pha_Timema,0,0
Pht_Boopid,0,0
Pht_Echino,0,0
Pht_Gyropi,0,0
Pht_Haemat,0,0
Pht_Heptap,0,0
Pht_Hoplop,0,0
Pht_Laemob,0,0
Pht_Linogn,0,0
Pht_Menopo,0,0
Pht_Pedici,0,0
Pht_Pedicu,1,0
Pht_Philop,0,0
Pht_Polypl,0,0
Pht_Pthiri,0,0
Pht_Ricini,0,0
Pht_Tricho,0,0
Pl_Austrop,0,0
Pl_Capniid,0,0
Pl_Chlorop,0,0
Pl_Diamphi,0,0
Pl_Eusthen,0,0
Pl_Gripopt,0,0
Pl_Leuctri,0,0
Pl_Nemouri,0,0
Pl_Notonem,0,0
Pl_Peltope,0,0
Pl_Perlida,0,0
Pl_Perlodi,0,0
Pl_Pterona,0,0
Pl_Scopuri,0,0
Pl_Stylope,0,0
Pl_Taeniop,0,0
Pro_Aceren,0,0
Pro_Berber,0,0
Pro_Eosent,0,0
Pro_Fujien,0,0
Pro_Hesper,0,0
Pro_Sinent,0,0
Ps_Amphien,0,0
Ps_Amphips,0,0
Ps_Archips,0,0
Ps_Asiopsc,0,0
Ps_Caecili,0,0
Ps_Calopso,0,0
Ps_Compsoc,0,0
Ps_Dasydem,0,0
Ps_Ectopso,0,0
Ps_Electre,0,0
Ps_Elipsco,0,0
Ps_Epipsoc,0,0
Ps_Hemipso,0,0
Ps_Lachesi,0,0
Ps_Lepidop,0,0
Ps_Liposce,0,0
Ps_Mesopso,0,0
Ps_Musapso,0,0
Ps_Myopsoc,0,0
Ps_Pachytr,0,0
Ps_Peripso,0,0
Ps_Philota,0,0
Ps_Prionog,0,0
Ps_Pseudoc,0,0
Ps_Psilops,0,0
Ps_Pscocid,0,0
Ps_Psoquil,0,0
Ps_Psyllip,0,0
Ps_Sphaero,0,0
Ps_Stenops,0,0
Psc_Tricho,0,0
Ps_Troctop,0,0
Ps_Trogiid,0,0
Rap_Inocel,0,0
Rap_Raphid,0,0
Si_Ceratop,0,0
Si_Chimero,0,0
Si_Coptops,0,0
Si_Ctenoph,0,0
Si_Hystri,0,0
Si_Ischnop,0,0
Si_Leptops,0,0
Si_Lycopsy,0,0
Si_Macrops,0,0
Si_Pulicid,0,0
Si_Pygiops,0,0
Si_Rhopalo,0,0
Si_Stephan,0,0
Si_Stivali,0,0
Si_Vermips,0,0
Strepsipte,0,0
Thy_Aeolot,1,0
Thy_Hetero,1,0
Thy_Phlaeo,1,1
Thy_Thripi,1,0
Tr_Anomalo,0,0
Tr_Apatani,0,0
Tr_Atriple,0,0
Tr_Beraeid,0,0
Tr_Brachyc,0,0
Tr_Calamoc,0,0
Tr_Calocid,0,0
Tr_Chatham,0,0
Tr_Conoesu,0,0
Tr_Dipseud,0,0
Tr_Ecnomid,0,0
Tr_Glossos,0,0
Tr_Goerida,0,0
Tr_Helicophi,0,0
Tr_Helicopsy,0,0
Tr_Hydrobi,0,0
Tr_Hydrops,0,0
Tr_Hydropt,0,0
Tr_Hydrosa,0,0
Tr_Kokirii,0,0
Tr_Lepidos,0,0
Tr_Leptoce,0,0
Tr_Limneph,0,0
Tr_Limnoce,0,0
Tr_Molanni,0,0
Tr_Odontoc,0,0
